ID,Name,Lat,Lng,Region
1062278,MOHAMMED SALEM ALMAHRI Establishment,21.26132,40.39467,South
1232854,مطاعم هويه احمد شاجري لتقديم الوجبات,21.39445,39.28693,West
1058689,Nouf Mabrouk bin Aidh Alghamdi Establishment For Local Cuisine,21.58919,40.6854,South
1059993,hamur alkaif Establishment,0,0,
991178,ماجد مرزوق بن سعد العتيبي Shop Commercial,21.28329,40.41822,South
1062278,MOHAMMED SALEM ALMAHRI Establishment,0,0,
1059914,Muneerah Hassan Dweihi AlNufaii Restaurant For Local Cuisine Establishment,0,0,
1224839,مؤسسة مدد المباني للمقاولات,0,0,
1060001,Laili Hasan bin Yahya Hazzazi Car Repair Shop For Cars Maintenance Establishment,0,0,
1068673,نواف سعد عزيز العتيبى Establishment Hotel,21.43868,39.82061,
1063707,شركة طارق بن عبدالعزيز بن محمد غفوري وشركاه,21.38699,39.80911,West
1065926,AMAL AYED KHURAYS ALHUZALI Establishment Commercial,21.42704,39.8104,West
1063707,شركة طارق بن عبدالعزيز بن محمد غفوري وشركاه,21.40588,39.89665,West
1067303,RANIYAH MOHAMMED BIN AHMED KHUBRANI Establishment Commercial,21.40746,39.82964,West
1068837,عبدالله سعود بن عبدالعزيز السليماني Establishment,21.46743,39.84889,West
524276,مؤسسة رهف ثامر عويد الفهيقي للتشغيل والصيانة,29.95287,40.19596,North
896521,مؤسسة فاطمه حامد عواد المولد التجارية,21.4259,39.79991,West
944313,شركة منار الجبيل التجارية,27.01224,49.66212,East
1037292,rukn alsaah Establishment For operation and maintenance,18.2078,42.51247,South
601876,مؤسسة أماني أحمد علي حكمي لخدمات السيارات,21.52778,39.21125,West
1093586,Adel bin Saleh bin Mohammed AlQattan Establishment Commercial,0,0,
901863,مؤسسة مطعم نكهة قريتي لتقديم الوجبات,16.9905,42.77524,South
480030,حلاق عالم تغريد للحلاقة الرجالية,29.94643,40.20383,North
1193455,مؤسسة بوفية عيده ناصر صنيج القحطاني للوجبات السريعة,0,0,
1243563,بوفية مقلط الحاره لتقديم الوجبات,0,0,
914750,مؤسسة وضحه شبيلي بن محمد خبراني التجارية,24.71849,46.67123,Center
1176906,مؤسسة بدريه مطر بن عواض المطيري للوجبات السريعة,21.55098,39.2496,West
897330,مؤسسة عبدالعزيز مرزوق سمير المطيري التجارية,24.12841,47.27623,Center
1001337,شركة ميدان الفطائر لتقديم الوجبات,0,0,
937519,al amar al asasi For General Contracting Establishment,0,0,
965394,مؤسسة هبايب الخليج للتجارة,24.59575,46.58181,Center
918020,عصائر سلطان سلمان محه الودعاني لتقديم المشروبات,21.40131,39.81704,West
894402,مؤسسة موضة الاناقة للخياطة النسائية,28.38789,36.55579,North
914325,مؤسسة بصمة الاندلس للتجارة,24.60589,46.77578,Center
524066,مقهى هيفاء بنت محمدمختار بن حسين هوساوي لتقديم المشروبات,24.45439,39.53581,North
524185,مؤسسة نقر مئتان للتجارة,24.47564,39.50504,North
910800,مؤسسة محل بصمة رجل للتجارة,23.76082,44.76223,Center
484041,محل جازان بلس للأجهزة الإلكترونية,16.67808,42.96374,South
954918,مؤسسة منال بنت الحسن بن محمد العلوي التجارية,21.59228,39.17142,West
1115834,Establishment MUFLIH HAMDA ALJAHDALI,0,0,
909832,مؤسسة المرافق والجودة للمقاولات العامة,24.68397,46.76712,Center
728209,مؤسسة فهد محمد سعد الجرجبي للعباءات النسائية,24.78966,46.80631,Center
554154,شركة الربوة الشعبية لتقديم الوجبات,24.68862,46.76508,Center
927353,مؤسسة قاعة البيلسان للاحتفالات,16.60178,42.93678,South
592428,بوفية احمد بن وادي بن سليمان العنزي للوجبات السريعة,24.16686,47.29872,Center
920366,مؤسسة مغسلة غريبه مخضري علي رميم للسيارات,24.91011,46.6187,Center
936080,Company Five G Commercial,24.47563,39.5867,North
396456,موسسة بست كلين لخدمات السيارات,25.38197,49.66352,East
611546,مؤسسة قطر المدى للتجارة,24.63159,46.71473,Center
768703,مطاعم هيثم المميز لتقديم الوجبات,21.37002,39.83734,West
523232,بقالة سعد معوض دخيل الله الجهني للمواد الغذائية,24.10998,38.07091,North
1130854,مثلج وبارد Establishment For Ice Cream,17.14616,42.60682,South
524259,مغاسل الساعة الذهبية لغسيل الملابس,24.45671,39.59311,North
893796,مؤسسة الاسم الموحد للادوات الصحية,21.31643,39.25701,West
